Question,Correct Answer
What are the requirements for certification bodies to be accredited in accordance with paragraph 1 of Article 43?,"Certification bodies referred to in paragraph 1 shall be accredited in accordance with that paragraph only where they have demonstrated their independence and expertise in relation to the subject-matter of the certification to the satisfaction of the competent supervisory authority; undertaken to respect the criteria referred to in Article 42(5) and approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant to Article 63; established procedures for the issuing, periodic review and withdrawal of data protection certification, seals and marks; established procedures and structures to handle complaints about infringements of the certification or the manner in which the certification has been, or is being, implemented by the controller or processor, and to make those procedures and structures transparent to data subjects and the public; and demonstrated, to the satisfaction of the competent supervisory authority, that their tasks and duties do not result in a conflict of interests."
Under what conditions can a transfer of personal data to a third country or international organization take place according to Article 44 of the GDPR?,"A transfer of personal data to a third country or international organization can take place only if the conditions laid down in Chapter V of the GDPR are complied with by the controller and processor, including for onward transfers of personal data from the third country or an international organization to another third country or to another international organization."
What are the requirements for certification bodies to be accredited in accordance with paragraph 1 of Article 43?,"Certification bodies referred to in paragraph 1 shall be accredited in accordance with that paragraph only where they have demonstrated their independence and expertise in relation to the subject-matter of the certification to the satisfaction of the competent supervisory authority; undertaken to respect the criteria referred to in Article 42(5) and approved by the supervisory authority which is competent pursuant to Article 55 or 56 or by the Board pursuant to Article 63; established procedures for the issuing, periodic review and withdrawal of data protection certification, seals and marks; established procedures and structures to handle complaints about infringements of the certification or the manner in which the certification has been, or is being, implemented by the controller or processor, and to make those procedures and structures transparent to data subjects and the public; and demonstrated, to the satisfaction of the competent supervisory authority, that their tasks and duties do not result in a conflict of interests."
"What are the elements that the Commission takes into account when assessing the adequacy of the level of protection in a third country or international organization, according to Article 45?","The Commission shall take account of the following elements: a) the rule of law, respect for human rights and fundamental freedoms, relevant legislation, both general and sectoral, including concerning public security, defence, national security and criminal law and the access of public authorities to personal data, as well as the implementation of such legislation, data protection rules, professional rules and security measures, including rules for the onward transfer of personal data to another third country or international organisation which are complied with in that country or international organisation, case-law, as well as effective and enforceable data subject rights and effective administrative and judicial redress for the data subjects whose personal data are being transferred; b) the existence and effective functioning of one or more independent supervisory authorities in the third country or to which an international organisation is subject, with responsibility for ensuring and enforcing compliance with the data protection rules, including adequate enforcement powers, for assisting and advising the data subjects in exercising their rights and for cooperation with the supervisory authorities of the Member States; and c) the international commitments the third country or international organisation concerned has entered into, or other obligations arising from legally binding conventions or instruments as well as from its participation in multilateral or regional systems, in particular in relation to the protection of personal data."
Under what conditions can a controller or processor transfer personal data to a third country or international organization?,"A controller or processor may transfer personal data to a third country or an international organisation only if the controller or processor has provided appropriate safeguards, and on condition that enforceable data subject rights and effective legal remedies for data subjects are available."
Under what circumstances can a judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data be recognised or enforceable?,"Any judgment of a court or tribunal and any decision of an administrative authority of a third country requiring a controller or processor to transfer or disclose personal data may only be recognised or enforceable in any manner if based on an international agreement, such as a mutual legal assistance treaty, in force between the requesting third country and the Union or a Member State, without prejudice to other grounds for transfer pursuant to this Chapter."
What are the requirements that binding corporate rules must fulfill in order to be approved by the competent supervisory authority?,"Binding corporate rules must be legally binding and apply to every member concerned of the group of undertakings, expressly confer enforceable rights on data subjects with regard to the processing of their personal data, and fulfill the requirements laid down in paragraph 2 of Article 47."
Under what conditions can a transfer or set of transfers of personal data to a third country or an international organisation take place in the absence of an adequacy decision or appropriate safeguards?,"A transfer or set of transfers of personal data to a third country or an international organisation shall take place only on one of the following conditions: (a) the data subject has explicitly consented to the proposed transfer, after having been informed of the possible risks of such transfers for the data subject due to the absence of an adequacy decision and appropriate safeguards; (b) the transfer is necessary for the performance of a contract between the data subject and the controller or the implementation of pre-contractual measures taken at the data subject's request; (c) the transfer is necessary for the conclusion or performance of a contract concluded in the interest of the data subject between the controller and another natural or legal person; (d) the transfer is necessary for important reasons of public interest; (e) the transfer is necessary for the establishment, exercise or defence of legal claims; (f) the transfer is necessary in order to protect the vital interests of the data subject or of other persons, where the data subject is physically or legally incapable of giving consent; (g) the transfer is made from a register which according to Union or Member State law is intended to provide information to the public and which is open to consultation either by the public in general or by any person who can demonstrate a legitimate interest, but only to the extent that the conditions laid down by Union or Member State law for consultation are fulfilled in the particular case."
What steps should the Commission and supervisory authorities take in relation to third countries and international organisations according to Article 50 of GDPR?,"The Commission and supervisory authorities should take appropriate steps to (a) develop international cooperation mechanisms to facilitate the effective enforcement of legislation for the protection of personal data; (b) provide international mutual assistance in the enforcement of legislation for the protection of personal data, including through notification, complaint referral, investigative assistance and information exchange, subject to appropriate safeguards for the protection of personal data and other fundamental rights and freedoms; (c) engage relevant stakeholders in discussion and activities aimed at furthering international cooperation in the enforcement of legislation for the protection of personal data; (d) promote the exchange and documentation of personal data protection legislation and practice, including on jurisdic­tional conflicts with third countries."
What is the purpose of the supervisory authority established in each Member State according to Article 51 of the GDPR Regulation?,"The purpose of the supervisory authority established in each Member State is to monitor the application of the GDPR Regulation, protect the fundamental rights and freedoms of natural persons in relation to processing, and facilitate the free flow of personal data within the Union."
What is the requirement for the member or members of each supervisory authority in performing their tasks and exercising their powers?,"The member or members of each supervisory authority shall, in the performance of their tasks and exercise of their powers in accordance with this Regulation, remain free from external influence, whether direct or indirect, and shall neither seek nor take instructions from anybody."
"What are the qualifications, experience and skills required for each member of the supervisory authority according to Article 53?","Each member shall have the qualifications, experience and skills, in particular in the area of the protection of personal data, required to perform its duties and exercise its powers."
What are the six provisions that each Member State must provide by law regarding the establishment of the supervisory authority according to Article 54?,"The six provisions that each Member State must provide by law regarding the establishment of the supervisory authority according to Article 54 are: (a) the establishment of each supervisory authority; (b) the qualifications and eligibility conditions required to be appointed as a member of each supervisory authority; (c) the rules and procedures for the appointment of the member or members of each supervisory authority; (d) the duration of the term of the member or members of each supervisory authority of no less than four years, except for the first appointment after 24 May 2016, part of which may take place for a shorter period where that is necessary to protect the independence of the supervisory authority by means of a staggered appointment procedure; (e) whether and, if so, for how many terms the member or members of each supervisory authority are eligible for reappointment; and (f) the conditions governing the obligations of the member or members and staff of each supervisory authority, prohibitions on actions, occupations and benefits incompatible therewith during and after the term of office, and rules governing the cessation of employment."
Which Article of the GDPR Regulation specifies the competence of supervisory authorities?,Article 55
"According to Article 56, which supervisory authority shall be competent to act as lead supervisory authority for cross-border processing carried out by a controller or processor?",The supervisory authority of the main establishment or of the single establishment of the controller or processor shall be competent to act as lead supervisory authority for the cross-border processing carried out by that controller or processor.
What are the tasks of each supervisory authority according to Article 57 of the GDPR Regulation?,"Each supervisory authority shall monitor and enforce the application of the GDPR Regulation, promote public awareness and understanding of the risks, rules, safeguards, and rights in relation to processing, advise the national parliament, the government, and other institutions and bodies on legislative and administrative measures relating to the protection of natural persons' rights and freedoms with regard to processing, promote the awareness of controllers and processors of their obligations under this Regulation, provide information to any data subject concerning the exercise of their rights under this Regulation and, if appropriate, cooperate with the supervisory authorities in other Member States to that end, handle complaints lodged by a data subject, or by a body, organization, or association in accordance with Article 80, and investigate, to the extent appropriate, the subject matter of the complaint and inform the complainant of the progress and the outcome of the investigation within a reasonable period, in particular if further investigation or coordination with another supervisory authority is necessary, cooperate with, including sharing information and provide mutual assistance to, other supervisory authorities with a view to ensuring the consistency of application and enforcement of this Regulation, conduct investigations on the application of this Regulation, including on the basis of information received from another supervisory authority or other public authority, monitor relevant developments, insofar as they have an impact on the protection of personal data, in particular the development of information and communication technologies and commercial practices, adopt standard contractual clauses referred to in Article 28(8) and in point (d) of Article 46(2), establish and maintain a list in relation to the requirement for data protection impact assessment pursuant to Article 35(4), give advice on the processing operations referred to in Article 36(2), encourage the drawing up of codes of conduct pursuant to Article 40(1) and provide an opinion and approve such codes of conduct which provide sufficient safeguards, pursuant to Article 40(5), encourage the establishment of data protection certification mechanisms and of data protection seals and marks pursuant to Article 42(1), and approve the criteria of certification pursuant to Article 42(5), where applicable, carry out a periodic review of certifications issued in accordance with Article 42(7), draft and publish the criteria for accreditation of a body for monitoring codes of conduct pursuant to Article 41 and of a certification body pursuant to Article 43, conduct the accreditation of a body for monitoring codes of conduct pursuant to Article 41 and of a certification body pursuant to Article 43, authorize contractual clauses and provisions referred to in Article 46(3), approve binding corporate rules pursuant to Article 47, contribute to the activities of the Board, keep internal records of infringements of this Regulation and of measures taken in accordance with Article 58(2), and fulfill any other tasks related to the protection of personal data."
What are the investigative powers of each supervisory authority according to Article 58?,"Each supervisory authority shall have the power to order the controller and the processor to provide any information it requires for the performance of its tasks, carry out investigations in the form of data protection audits, carry out a review on certifications issued pursuant to Article 42(7), notify the controller or the processor of an alleged infringement of this Regulation, obtain access to all personal data and to all information necessary for the performance of its tasks, and obtain access to any premises of the controller and the processor, including to any data processing equipment and means, in accordance with Union or Member State procedural law."
What is the requirement for each supervisory authority under Article 59 of the GDPR?,"Each supervisory authority shall draw up an annual report on its activities, which may include a list of types of infringement notified and types of measures taken in accordance with Article 58(2). Those reports shall be transmitted to the national parliament, the government and other authorities as designated by Member State law. They shall be made available to the public, to the Commission and to the Board."
What is the purpose of the cooperation between the lead supervisory authority and the other supervisory authorities concerned according to Article 60?,The purpose of the cooperation is to reach consensus and exchange all relevant information with each other.
What is the purpose of mutual assistance between supervisory authorities according to Article 61 of the GDPR?,"The purpose of mutual assistance between supervisory authorities according to Article 61 of the GDPR is to provide each other with relevant information and assistance in order to implement and apply the Regulation in a consistent manner, and to put in place measures for effective cooperation with one another. Mutual assistance shall cover, in particular, information requests and supervisory measures, such as requests to carry out prior authorisations and consultations, inspections and investigations."
What is the purpose of the consistency mechanism described in Article 63 of the GDPR Regulation?,"The purpose of the consistency mechanism described in Article 63 of the GDPR Regulation is to contribute to the consistent application of the Regulation throughout the Union by having supervisory authorities cooperate with each other and, where relevant, with the Commission."
Under what circumstances can a supervisory authority confer investigative powers on the members or staff of a seconding supervisory authority?,"A supervisory authority may, in accordance with Member State law, and with the seconding supervisory authority's authorisation, confer powers, including investigative powers on the seconding supervisory authority's members or staff involved in joint operations or, in so far as the law of the Member State of the host supervisory authority permits, allow the seconding supervisory authority's members or staff to exercise their investigative powers in accordance with the law of the Member State of the seconding supervisory authority."
When shall the Board issue an opinion and what are the measures that trigger this obligation?,"The Board shall issue an opinion when a competent supervisory authority intends to adopt any of the measures listed in Article 64(1), which are: (a) adopting a list of processing operations subject to a DPIA; (b) assessing whether a draft code of conduct complies with the GDPR; (c) approving the criteria for accreditation of a body or certification body; (d) determining standard data protection clauses or authorizing contractual clauses; or (e) approving binding corporate rules."
Under what circumstances can a supervisory authority adopt provisional measures with a specified period of validity not exceeding three months?,"In exceptional circumstances, where a supervisory authority concerned considers that there is an urgent need to act in order to protect the rights and freedoms of data subjects."
What is the purpose of the implementing acts that may be adopted by the Commission in accordance with Article 67?,"The purpose of the implementing acts is to specify the arrangements for the exchange of information by electronic means between supervisory authorities, and between supervisory authorities and the Board, in particular the standardised format referred to in Article 64."
In what cases shall the Board adopt a binding decision according to Article 65?,"The Board shall adopt a binding decision in the following cases: (a) where, in a case referred to in Article 60(4), a supervisory authority concerned has raised a relevant and reasoned objection to a draft decision of the lead authority or the lead authority has rejected such an objection as being not relevant or reasoned; (b) where there are conflicting views on which of the supervisory authorities concerned is competent for the main establishment; (c) where a competent supervisory authority does not request the opinion of the Board in the cases referred to in Article 64(1), or does not follow the opinion of the Board issued under Article 64. In that case, any supervisory authority concerned or the Commission may communicate the matter to the Board."
What is the European Data Protection Board and who is part of it?,"The European Data Protection Board is a body of the Union with legal personality. It is composed of the head of one supervisory authority of each Member State and of the European Data Protection Supervisor, or their respective representatives. In Member States with more than one supervisory authority, a joint representative shall be appointed."
"According to Article 69, can the Board seek or take instructions from anybody when performing its tasks or exercising its powers?","No, the Board shall, in the performance of its tasks or the exercise of its powers, neither seek nor take instructions from anybody, except for requests by the Commission referred to in point (b) of Article 70(1) and in Article 70(2)."
What are the tasks of the Board according to Article 70?,"The tasks of the Board according to Article 70 are: ensuring the consistent application of the GDPR, monitoring and ensuring the correct application of the GDPR in the cases provided for in Articles 64 and 65, advising the Commission on any issue related to the protection of personal data in the Union, issuing guidelines, recommendations, and best practices on various topics, examining any question covering the application of the GDPR and issuing guidelines, recommendations and best practices in order to encourage consistent application of the GDPR, drawing up guidelines for supervisory authorities concerning the application of measures referred to in Article 58(1), (2) and (3) and the setting of administrative fines pursuant to Article 83, reviewing the practical application of the guidelines, recommendations and best practices, encouraging the drawing-up of codes of conduct and the establishment of data protection certification mechanisms and data protection seals and marks, carrying out the accreditation of certification bodies and its periodic review, specifying the requirements referred to in Article 43(3) with a view to the accreditation of certification bodies under Article 42, providing the Commission with an opinion on the certification requirements referred to in Article 43(8), providing the Commission with an opinion on the icons referred to in Article 12(7), providing the Commission with an opinion for the assessment of the adequacy of the level of protection in a third country or international organisation, issuing opinions on draft decisions of supervisory authorities pursuant to the consistency mechanism referred to in Article 64(1), on matters submitted pursuant to Article 64(2) and to issue binding decisions pursuant to Article 65, promoting the cooperation and the effective bilateral and multilateral exchange of information and best practices between the supervisory authorities, promoting common training programmes and facilitate personnel exchanges between the supervisory authorities and, where appropriate, with the supervisory authorities of third countries or with international organisations, promoting the exchange of knowledge and documentation on data protection legislation and practice with data protection supervisory authorities worldwide, issuing opinions on codes of conduct drawn up at Union level pursuant to Article 40(9), and maintaining a publicly accessible electronic register of decisions taken by supervisory authorities and courts on issues handled in the consistency mechanism."
What is the purpose of the annual report that the Board is required to draw up according to Article 71?,"The annual report is regarding the protection of natural persons with regard to processing in the Union and, where relevant, in third countries and international organisations. It shall include a review of the practical application of the guidelines, recommendations and best practices referred to in point (l) of Article 70(1) as well as of the binding decisions referred to in Article 65. The report shall be made public and be transmitted to the European Parliament, to the Council and to the Commission."
What is the required majority for the Board to adopt its own rules of procedure?,A two-thirds majority of its members.
Who elects the chair and deputy chairs of the Board in Article 73 of the regulation?,The Board elects the chair and deputy chairs from amongst its members by simple majority.
What are the tasks of the Chair according to Article 74?,"The Chair's tasks according to Article 74 are: (a) to convene the meetings of the Board and prepare its agenda; (b) to notify decisions adopted by the Board pursuant to Article 65 to the lead supervisory authority and the supervisory authorities concerned; (c) to ensure the timely performance of the tasks of the Board, in particular in relation to the consistency mechanism referred to in Article 63."
What is the role of the secretariat in the Board established by Article 75 of the GDPR Regulation?,"The secretariat shall provide analytical, administrative and logistical support to the Board, including the day-to-day business of the Board, communication between the members of the Board, its Chair and the Commission, communication with other institutions and the public, the use of electronic means for the internal and external communication, the translation of relevant information, the preparation and follow-up of the meetings of the Board, the preparation, drafting and publication of opinions, decisions on the settlement of disputes between supervisory authorities and other texts adopted by the Board."
Under what circumstances shall the discussions of the Board be confidential according to Article 76?,"The discussions of the Board shall be confidential where the Board deems it necessary, as provided for in its rules of procedure."
What is the right granted to every data subject in Article 77 of the GDPR?,The right to lodge a complaint with a supervisory authority if the data subject considers that the processing of personal data relating to him or her infringes this Regulation.
What is the right granted to each natural or legal person in relation to a legally binding decision of a supervisory authority?,The right to an effective judicial remedy.
What is the right granted to data subjects under Article 79 of the GDPR Regulation?,Each data subject shall have the right to an effective judicial remedy where he or she considers that his or her rights under this Regulation have been infringed as a result of the processing of his or her personal data in non-compliance with this Regulation.
What is the right granted to a data subject in Article 80 of the GDPR?,"The data subject shall have the right to mandate a not-for-profit body, organisation or association to lodge the complaint on his or her behalf, to exercise the rights referred to in Articles 77, 78 and 79 on his or her behalf, and to exercise the right to receive compensation referred to in Article 82 on his or her behalf where provided for by Member State law."
What should a competent court of a Member State do if it has information on proceedings concerning the same subject matter as regards processing by the same controller or processor that are pending in a court in another Member State?,It shall contact that court in the other Member State to confirm the existence of such proceedings.
Who is liable for the damage caused by processing which infringes the GDPR Regulation?,Any controller involved in processing shall be liable for the damage caused by processing which infringes this Regulation. A processor shall be liable for the damage caused by processing only where it has not complied with obligations of this Regulation specifically directed to processors or where it has acted outside or contrary to lawful instructions of the controller.
What factors should be taken into account when deciding on the amount of an administrative fine according to Article 83?,"When deciding on the amount of an administrative fine in each individual case due regard shall be given to the nature, gravity and duration of the infringement taking into account the nature scope or purpose of the processing concerned as well as the number of data subjects affected and the level of damage suffered by them; the intentional or negligent character of the infringement; any action taken by the controller or processor to mitigate the damage suffered by data subjects; the degree of responsibility of the controller or processor taking into account technical and organisational measures implemented by them pursuant to Articles 25 and 32; any relevant previous infringements by the controller or processor; the degree of cooperation with the supervisory authority, in order to remedy the infringement and mitigate the possible adverse effects of the infringement; the categories of personal data affected by the infringement; the manner in which the infringement became known to the supervisory authority, in particular whether, and if so to what extent, the controller or processor notified the infringement; where measures referred to in Article 58(2) have previously been ordered against the controller or processor concerned with regard to the same subject-matter, compliance with those measures; adherence to approved codes of conduct pursuant to Article 40 or approved certification mechanisms pursuant to Article 42; and any other aggravating or mitigating factor applicable to the circumstances of the case, such as financial benefits gained, or losses avoided, directly or indirectly, from the infringement."
What is the purpose of the penalties laid down by Member States in accordance with Article 84 of the GDPR?,"The purpose of the penalties laid down by Member States in accordance with Article 84 of the GDPR is to provide effective, proportionate, and dissuasive penalties for infringements of the GDPR that are not subject to administrative fines under Article 83."
What does Article 85 of the GDPR Regulation state regarding the right to freedom of expression and information?,"Article 85 of the GDPR Regulation states that Member States shall by law reconcile the right to the protection of personal data pursuant to this Regulation with the right to freedom of expression and information, including processing for journalistic purposes and the purposes of academic, artistic or literary expression. For processing carried out for journalistic purposes or the purpose of academic artistic or literary expression, Member States shall provide for exemptions or derogations from certain chapters of the Regulation if they are necessary to reconcile the right to the protection of personal data with the freedom of expression and information."
What aspects of employment can the rules provided by Member States or collective agreements pertain to according to Article 88?,"The rules may pertain to various aspects of employment, including recruitment, performance of the employment contract, management, planning and organization of work, equality and diversity in the workplace, health and safety at work, protection of employer's or customer's property, and the exercise and enjoyment of rights and benefits related to employment, as well as the termination of the employment relationship."
Under what conditions can Member States determine the specific conditions for the processing of a national identification number or any other identifier of general application?,Member States may further determine the specific conditions for the processing of a national identification number or any other identifier of general application only under appropriate safeguards for the rights and freedoms of the data subject pursuant to this Regulation.
Under what circumstances can personal data in official documents held by a public authority or a public body or a private body be disclosed?,Personal data in official documents held by a public authority or a public body or a private body for the performance of a task carried out in the public interest may be disclosed by the authority or body in accordance with Union or Member State law to which the public authority or body is subject in order to reconcile public access to official documents with the right to the protection of personal data pursuant to this Regulation.
"What are the conditions and safeguards that Union or Member State law may provide for derogations from the rights referred to in Articles 15, 16, 18 and 21 for processing personal data for scientific or historical research purposes or statistical purposes?","The conditions and safeguards referred to in paragraph 1 of Article 89, which include appropriate safeguards for the rights and freedoms of the data subject and technical and organisational measures to ensure respect for the principle of data minimisation."
What is the purpose of the specific rules that Member States may adopt in relation to controllers or processors subject to an obligation of secrecy under Union or Member State law?,The purpose of the specific rules is to reconcile the right of the protection of personal data with the obligation of secrecy.
Under what conditions may churches and religious associations continue to apply their existing data protection rules?,Churches and religious associations may continue to apply their existing data protection rules if they are comprehensive and brought into line with the GDPR Regulation.
What is the period of time within which the European Parliament or the Council must express objection to a delegated act adopted pursuant to Article 12(8) and Article 43(8)?,The period of time within which the European Parliament or the Council must express objection to a delegated act adopted pursuant to Article 12(8) and Article 43(8) is three months.
What is the purpose of the committee mentioned in Article 93?,The committee mentioned in Article 93 is meant to assist the Commission.
When is Directive 95/46/EC repealed?,Directive 95/46/EC is repealed with effect from 25 May 2018.
Does Article 95 of the GDPR impose additional obligations on natural or legal persons in relation to processing in connection with the provision of publicly available electronic communications services in public communication networks in the Union?,"No, Article 95 of the GDPR shall not impose additional obligations on natural or legal persons in relation to processing in connection with the provision of publicly available electronic communications services in public communication networks in the Union in relation to matters for which they are subject to specific obligations with the same objective set out in Directive 2002/58/EC."
"According to Article 96, what happens to international agreements involving the transfer of personal data to third countries or international organisations that were concluded by Member States prior to May 24, 2016 and comply with Union law as applicable prior to that date?","They shall remain in force until amended, replaced or revoked."
What is the deadline for the Commission to submit a report on the evaluation and review of this Regulation to the European Parliament and to the Council?,By 25 May 2020 and every four years thereafter.
What is the purpose of Article 98 of the GDPR Regulation?,"The purpose of Article 98 of the GDPR Regulation is to ensure uniform and consistent protection of natural persons with regard to processing by Union institutions, bodies, offices and agencies and on the free movement of such data by submitting legislative proposals to amend other Union legal acts on the protection of personal data."
When does this Regulation enter into force and when does it apply?,The Regulation enters into force on the twentieth day following its publication in the Official Journal of the European Union and applies from 25 May 2018.
